doc_key	section_key	type	carriers	norm_count	restate	codex	note
implementation-django-final	s059-12.1	NAR	code	0	N	SAME	3수준 설명·예시만(P0 규범 0)
implementation-django-final	s060-12.2	REF	code	2	N	SAME	-
implementation-django-final	s061-13	NAR	none	0	N	SAME	장 헤딩만 — P0 접기
implementation-django-final	s062-13.1	REF	table	4	N	SAME	표 «주의사항» 열이 규범 4 운반(P0 발견 5)
implementation-django-final	s063-13.2	REF	code	3	N	SAME	production 설정 묶음 집계 1+check --deploy(백스톱 미지목)+CSRF_COOKIE_HTTPONLY 주의(코드 주석)
implementation-django-final	s064-13.3	REF	code	2	N	SAME	좋은/나쁜 예 형태
implementation-django-final	s065-13.4	NAR	code	0	N	SAME	예시 코드만(P0 규범 0)
implementation-django-final	s066-14	REF	none	3	N	SAME	discipline-tdd 입장 심사 소유 명시(P0 §14 도입)
implementation-django-final	s067-14.1	REF	table,code	3	N	SAME	선택 표 집계 1+blockquote «신규 add는 무조건 pytest 관용구»
implementation-django-final	s068-14.2	NAR	code	0	N	SAME	P0 애매 판정 계승: «~한다» 3건은 예제 해설로 제외
implementation-django-final	s069-14.3	REF	code	2	Y:implementation-django-final/s054-11.1	SAME	assertNumQueries 입장 조건 재진술(P0 명기)
implementation-django-final	s070-14.4	REF	code	3	N	SAME	규칙이 코드 주석 형태
implementation-django-final	s071-15	NAR	none	0	N	SAME	장 헤딩만 — P0 접기
implementation-django-final	s072-15.1	REF	code	1	N	SAME	실행 순서 다이어그램은 코드 펜스
implementation-django-final	s073-15.2	REF	code	2	N	SAME	-
implementation-django-final	s074-16	NAR	none	0	N	SAME	장 헤딩만 — P0 접기
implementation-django-final	s075-16.1	REF	none	8	N	SAME	도입 기준 bullet 5+판단 기준·억지 분리 금지 — 판단형 규칙
implementation-django-final	s076-16.2	REF	code	5	Y:implementation-django-final/s015-2.5	SAME	심볼 소비 재진술+평면/4계층 이중 문맥(P0 발견 6)
implementation-django-final	s077-16.3	REF	code	2	N	SAME	-
implementation-django-final	s078-16.4	REF	code,table	28	N	SAME	문서 최대 밀도 절(P0 발견 4). risky write 표 6행+«출처-불문 금지»+코드 주석 규범 1(#200)
implementation-django-final	s079-16.5	REF	code	11	Y:implementation-django-final/s015-2.5	SAME	규범 상당수가 코드 주석·인용구(#58·birth-enum). 소비 규율 재진술 주석 포함(P0 발견 6)
implementation-django-final	s080-17	NAR	none	0	N	SAME	장 헤딩만 — P0 접기
implementation-django-final	s081-17.1	NAR	none	0	N	SAME	절 헤딩만. P0 §17.1(규범 0)은 h4 셋 접은 절
implementation-django-final	s082	NAR	code	0	N	SAME	db_default 기능 소개만
implementation-django-final	s083	NAR	code	0	N	SAME	GeneratedField 기능 소개만
implementation-django-final	s084	NAR	code	0	N	SAME	딕셔너리 Choices 기능 소개만
implementation-django-final	s085-17.2	NAR	code	0	N	SAME	기능 소개만(P0 규범 0)
implementation-django-final	s086-17.3	NAR	none	0	N	SAME	절 헤딩만. P0 §17.3(규범 2)은 h4 셋 접은 계수 — s087에 분배
implementation-django-final	s087	REF	code	2	N	SAME	⚠ bullet: BC 경계 ORM FK 금지 — 값 참조로(architecture-ddd §3.3 규칙3). 기능 절에 경계 규범 끼임(P0 §17.3 분배 2)
implementation-django-final	s088	NAR	code	0	N	SAME	shell 자동 임포트 소개만
implementation-django-final	s089	NAR	code	0	N	SAME	제약 검증 개선·LTS 지원 기간 — 설명만
implementation-django-final	s090	NAR	none	0	N	SAME	참고 자료 h2 헤딩만(P0 «참고 자료» 1절의 접힘 상위)
implementation-django-final	s091	NAR	none	0	N	SAME	공식 문서 링크 목록
implementation-django-final	s092	NAR	none	0	N	SAME	서적 목록
implementation-django-final	s093	NAR	none	0	N	SAME	커뮤니티 가이드 링크 목록
